"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Macon County","AL","16.8","18.3","4.7","19.6","80.0","1166","5381","3.2","217","0.2","0.3","81.5","1.5","0.0","1.4","16.7","16.2","65.7","8107","10217","75700","2.29","15.5","30724","16826","27.3","1","1.1","608.89","4.2","83.8","0","23.1","54.2","1662","21452","19425","-9.4","35.2","193","0","875","3932","0.0","0.0","66.7","0.0","0.0","1584","0.0"
"Madison County","AL","13.7","22.4","5.8","38.5","90.0","22681","153304","0.8","8095","0.8","2.6","24.6","4.7","0.1","2.5","69.4","65.5","69.3","132975","154452","164500","2.5","21.4","58434","31933","12.8","2677","5.4","801.59","7.1","84.7","86507","21.0","51.2","34203","334811","350299","4.6","417.7","5963","29704","44386","14145","1.4","3.5","12.3","1.3","0.0","26467","29.2"
"Marengo County","AL","18.6","23.0","6.0","17.4","83.7","1019","5876","1.8","478","0.3","0.3","51.0","2.4","0.2","0.8","47.4","45.6","71.3","8464","10207","89600","2.42","9.1","35079","22072","24.0","0","0.7","976.88","1.2","87.4","5421","22.4","53.2","1462","21027","20110","-4.4","21.5","166","645","1972","9274","0.0","0.0","0.0","0.0","0.0","1604","21.4"
"Marion County","AL","20.1","21.2","5.4","9.5","74.6","1828","8006","5.0","547","0.3","0.3","4.2","2.5","0.1","1.2","93.9","91.7","75.9","12700","14704","78700","2.34","9.6","32888","19576","20.9","0","1.0","742.29","2.5","86.6","7944","24.0","50.4","2287","30776","30271","-1.6","41.5","190","1625","2099","7116","0.0","0.0","0.0","0.0","0.0","2224","0.0"
"Marshall County","AL","16.3","24.5","6.6","15.2","76.2","6781","30306","0.1","1795","1.1","0.7","2.7","12.9","0.3","1.6","93.7","82.3","71.9","34250","40328","114000","2.7","9.5","39526","20382","19.5","28","8.0","565.84","11.5","86.1","30294","23.9","50.9","7192","93019","94636","1.7","164.4","1035","11387","13576","15434","0.0","0.9","0.0","1.0","0.0","8700","24.9"
"Mobile County","AL","14.5","24.0","6.7","20.7","83.9","29500","147574","-0.4","8567","1.0","2.0","35.3","2.8","0.1","1.5","60.1","57.8","66.6","155178","181611","124300","2.6","17.4","43028","22501","19.8","746","3.2","1229.44","5.0","85.8","124071","23.9","52.2","33586","412992","415123","0.5","335.9","5624","32687","52254","12895","0.0","2.4","18.8","1.2","0.0","34836","29.5"
"Monroe County","AL","17.9","23.4","5.5","10.6","76.1","1265","5029","-1.8","393","1.3","0.4","41.1","1.2","0.0","1.6","55.5","54.7","74.0","8333","11274","76900","2.71","6.8","29203","15749","28.6","0","0.9","1025.68","1.3","91.8","12519","23.3","52.6","1237","23068","21947","-4.9","22.5","147","928","2126","9342","0.0","0.0","23.6","0.0","0.0","2257","24.5"
"Montgomery County","AL","13.3","24.0","6.8","31.5","85.6","15129","101517","1.2","5533","0.3","2.6","56.7","3.4","0.1","1.3","38.9","36.3","61.4","88844","103434","122900","2.49","22.4","44790","24975","21.2","734","4.3","784.25","5.7","78.1","79566","19.3","52.6","20008","229363","226189","-1.4","292.5","4028","32755","32381","14351","0.7","2.4","35.6","1.3","0.0","21463","30.9"
"Morgan County","AL","15.9","23.1","6.0","19.9","81.4","7506","42569","2.0","2589","1.1","0.7","12.5","7.9","0.1","2.0","83.5","76.6","71.5","46192","51496","120500","2.55","15.1","44800","23764","15.7","136","5.1","579.34","8.0","86.4","0","23.7","50.8","9518","119490","119607","0.1","206.3","1547","12139","16376","14222","1.8","1.0","5.9","0.0","0.0","10034","21.3"
"Perry County","AL","17.9","22.4","5.5","10.4","70.2","488","1570","4.0","125","0.2","0.4","67.5","1.3","0.1","0.7","31.1","30.3","67.0","3400","4691","58000","2.84","11.0","28209","13716","25.6","0","0.5","719.66","0.8","92.2","0","26.8","53.4","670","10591","9826","-7.1","14.7","26","103","341","3181","0.0","0.0","55.7","0.0","0.0","854","41.3"
"Pickens County","AL","17.8","20.5","5.2","11.0","79.7","1073","2707","-1.2","266","0.2","0.3","40.2","4.1","0.4","0.9","58.1","54.7","72.0","7926","9441","81900","2.42","10.7","28741","17153","27.2","3","0.3","881.41","2.6","91.9","1076","29.3","50.6","1610","19746","20365","3.1","22.4","63","365","1132","5805","0.0","0.0","0.0","0.0","0.0","1268","10.0"
"Pike County","AL","14.1","19.4","5.7","23.0","81.0","1970","11009","1.4","628","0.7","2.2","36.9","2.2","0.1","1.6","58.5","57.1","57.8","12959","15807","101000","2.4","18.5","33090","19715","27.6","44","4.0","672.09","5.8","79.3","0","18.7","51.9","2516","32899","33389","1.5","48.9","456","0","3679","12189","0.0","0.0","0.0","0.0","0.0","2527","0.0"
